Lab Report Date,Health District,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
8/20/2020,Virginia Beach,914,55,6.017505470,97.234042553,58,940
8/21/2020,Virginia Beach,787,39,4.955527319,96.564417178,40,815
8/22/2020,Virginia Beach,1026,54,5.263157895,96.338028169,56,1065
8/23/2020,Virginia Beach,736,38,5.163043478,97.225891678,40,757
8/24/2020,Virginia Beach,568,40,7.042253521,98.954703833,40,574
8/25/2020,Virginia Beach,572,34,5.944055944,97.278911565,36,588
8/26/2020,Virginia Beach,820,38,4.634146341,95.348837209,43,860
8/27/2020,Virginia Beach,665,48,7.218045113,96.098265896,50,692
8/28/2020,Virginia Beach,708,40,5.649717514,96.326530612,43,735
8/29/2020,Virginia Beach,750,44,5.866666667,97.150259067,47,772
8/30/2020,Virginia Beach,504,31,6.150793651,96.923076923,31,520
8/31/2020,Virginia Beach,629,44,6.995230525,98.899371069,47,636
9/1/2020,Virginia Beach,560,34,6.071428571,98.073555166,35,571
9/2/2020,Virginia Beach,745,42,5.637583893,97.385620915,47,765
9/3/2020,Virginia Beach,710,59,8.309859155,96.994535519,62,732
9/4/2020,Virginia Beach,591,39,6.598984772,97.364085667,41,607
9/5/2020,Virginia Beach,574,19,3.310104530,96.795952782,19,593
9/6/2020,Virginia Beach,773,31,4.010349288,97.972116603,31,789
9/7/2020,Virginia Beach,280,16,5.714285714,100,16,280
9/8/2020,Virginia Beach,507,27,5.325443787,99.0234375,28,512
9/9/2020,Virginia Beach,643,46,7.153965785,98.771121352,46,651
9/10/2020,Virginia Beach,535,34,6.355140187,96.396396396,37,555
9/11/2020,Virginia Beach,695,33,4.748201439,95.862068966,33,725
9/12/2020,Virginia Beach,893,33,3.695408735,96.959826276,37,921
9/13/2020,Virginia Beach,579,23,3.972366149,97.969543147,24,591
9/14/2020,Virginia Beach,472,37,7.838983051,100,37,472
9/15/2020,Virginia Beach,954,51,5.345911950,99.271592092,54,961
9/16/2020,Virginia Beach,743,30,4.037685061,96.368352789,34,771
9/17/2020,Virginia Beach,641,33,5.148205928,97.121212121,35,660
9/18/2020,Virginia Beach,770,33,4.285714286,95.890410959,37,803
9/19/2020,Virginia Beach,734,10,1.362397820,98.259705489,12,747
9/20/2020,Virginia Beach,424,19,4.481132075,96.583143508,22,439
9/21/2020,Virginia Beach,735,37,5.034013605,98.130841121,42,749
9/22/2020,Virginia Beach,663,27,4.072398190,97.356828194,34,681
9/23/2020,Virginia Beach,839,31,3.694874851,96.994219653,37,865
9/24/2020,Virginia Beach,630,21,3.333333333,95.890410959,30,657
9/25/2020,Virginia Beach,672,27,4.017857143,96.275071633,34,698
9/26/2020,Virginia Beach,836,50,5.980861244,96.535796767,57,866
9/27/2020,Virginia Beach,324,10,3.086419753,95.857988166,12,338
